policy,workload,queue_depth,bank_count,refresh_interval,thread_count,completed_requests,dropped_requests,avg_latency_cycles,p95_latency_cycles,avg_wait_cycles,throughput_req_per_cycle,throughput_req_per_kcycle,row_buffer_hit_rate,jains_fairness,bank_utilization
fcfs,workload3_zipf.txt,32,8,1.5,1,13055,86905,297.2877,806.0,243.4449,0.13055,130.55,0.0016,1.0,"{'bank_0': 0.90018, 'bank_1': 0.86562, 'bank_2': 0.8919, 'bank_3': 0.90324, 'bank_4': 0.8838, 'bank_5': 0.86112, 'bank_6': 0.90648, 'bank_7': 0.82116}"
fcfs,workload3_zipf.txt,32,8,1.0,1,13060,86900,297.2011,802.05,243.3996,0.1306,130.6,0.0015,1.0,"{'bank_0': 0.8784, 'bank_1': 0.9081, 'bank_2': 0.90342, 'bank_3': 0.87048, 'bank_4': 0.88848, 'bank_5': 0.84582, 'bank_6': 0.89082, 'bank_7': 0.84528}"
fcfs,workload3_zipf.txt,32,8,1.0,2,13060,86900,297.2011,802.05,243.3996,0.1306,130.6,0.0015,1.0,"{'bank_0': 0.8784, 'bank_1': 0.9081, 'bank_2': 0.90342, 'bank_3': 0.87048, 'bank_4': 0.88848, 'bank_5': 0.84582, 'bank_6': 0.89082, 'bank_7': 0.84528}"
fcfs,workload3_zipf.txt,32,8,1.0,4,13060,86900,297.2011,802.05,243.3996,0.1306,130.6,0.0015,1.0,"{'bank_0': 0.8784, 'bank_1': 0.9081, 'bank_2': 0.90342, 'bank_3': 0.87048, 'bank_4': 0.88848, 'bank_5': 0.84582, 'bank_6': 0.89082, 'bank_7': 0.84528}"
fcfs,workload3_zipf.txt,32,8,1.0,8,13060,86900,297.2011,802.05,243.3996,0.1306,130.6,0.0015,1.0,"{'bank_0': 0.8784, 'bank_1': 0.9081, 'bank_2': 0.90342, 'bank_3': 0.87048, 'bank_4': 0.88848, 'bank_5': 0.84582, 'bank_6': 0.89082, 'bank_7': 0.84528}"
frfcfs,workload1_random.txt,4,8,1.0,1,9024,90967,97.0691,208.85,43.2766,0.09024,90.24,0.0,1.0,"{'bank_0': 0.6138, 'bank_1': 0.5706, 'bank_2': 0.64836, 'bank_3': 0.60084, 'bank_4': 0.603, 'bank_5': 0.60462, 'bank_6': 0.63216, 'bank_7': 0.58356}"
frfcfs,workload1_random.txt,8,8,1.0,1,10645,89340,127.893,269.0,74.0689,0.10645,106.45,0.0,1.0,"{'bank_0': 0.72342, 'bank_1': 0.7137, 'bank_2': 0.72126, 'bank_3': 0.6921, 'bank_4': 0.7002, 'bank_5': 0.73098, 'bank_6': 0.73044, 'bank_7': 0.7218}"
frfcfs,workload1_random.txt,16,8,1.0,1,12183,87796,183.8679,437.0,130.0275,0.12183,121.83,0.0002,1.0,"{'bank_0': 0.86058, 'bank_1': 0.8181, 'bank_2': 0.80928, 'bank_3': 0.81954, 'bank_4': 0.8082, 'bank_5': 0.83592, 'bank_6': 0.80172, 'bank_7': 0.80874}"
frfcfs,workload1_random.txt,32,8,1.0,1,13101,86859,296.5311,701.0,242.6767,0.13101,131.01,0.0001,1.0,"{'bank_0': 0.91422, 'bank_1': 0.87462, 'bank_2': 0.85194, 'bank_3': 0.89838, 'bank_4': 0.88704, 'bank_5': 0.89838, 'bank_6': 0.85842, 'bank_7': 0.87678}"
frfcfs,workload1_random.txt,64,8,1.0,1,13629,86299,519.8929,1281.6,466.0434,0.13629,136.29,0.0004,1.0,"{'bank_0': 0.96228, 'bank_1': 0.92826, 'bank_2': 0.89856, 'bank_3': 0.91188, 'bank_4': 0.90378, 'bank_5': 0.93636, 'bank_6': 0.88974, 'bank_7': 0.9126}"
frfcfs,workload1_random.txt,32,2,1.0,1,3564,96402,946.1625,1673.0,892.3039,0.03564,35.64,0.0003,1.0,"{'bank_0': 0.96264, 'bank_1': 0.95796}"
frfcfs,workload1_random.txt,32,4,1.0,1,6870,93094,516.2862,1293.0,462.4381,0.0687,68.7,0.0004,1.0,"{'bank_0': 0.93906, 'bank_1': 0.91368, 'bank_2': 0.9162, 'bank_3': 0.93258}"
frfcfs,workload1_random.txt,32,8,1.0,1,13101,86859,296.5311,701.0,242.6767,0.13101,131.01,0.0001,1.0,"{'bank_0': 0.91422, 'bank_1': 0.87462, 'bank_2': 0.85194, 'bank_3': 0.89838, 'bank_4': 0.88704, 'bank_5': 0.89838, 'bank_6': 0.85842, 'bank_7': 0.87678}"
frfcfs,workload1_random.txt,32,16,1.0,1,23813,76141,186.9012,475.0,133.063,0.23813,238.13,0.0001,1.0,"{'bank_0': 0.82548, 'bank_1': 0.82494, 'bank_2': 0.78624, 'bank_3': 0.77526, 'bank_4': 0.84168, 'bank_5': 0.81414, 'bank_6': 0.79038, 'bank_7': 0.79848, 'bank_8': 0.80226, 'bank_9': 0.78786, 'bank_10': 0.78444, 'bank_11': 0.80712, 'bank_12': 0.79092, 'bank_13': 0.80568, 'bank_14': 0.81954, 'bank_15': 0.77418}"
frfcfs,workload1_random.txt,32,8,0.5,1,12479,87481,308.4488,814.0,254.7575,0.12479,124.79,0.0002,1.0,"{'bank_0': 0.85302, 'bank_1': 0.84366, 'bank_2': 0.81504, 'bank_3': 0.8064, 'bank_4': 0.8847, 'bank_5': 0.83862, 'bank_6': 0.82584, 'bank_7': 0.83718}"
frfcfs,workload1_random.txt,32,8,0.75,1,12785,87176,301.7865,806.0,247.992,0.12785,127.85,0.0001,1.0,"{'bank_0': 0.88614, 'bank_1': 0.84834, 'bank_2': 0.84024, 'bank_3': 0.86832, 'bank_4': 0.89748, 'bank_5': 0.82782, 'bank_6': 0.8685, 'bank_7': 0.8451}"
